DAYID,CONTRACT,DATASOURCE,CHANNEL_NAME,CO_CODE,CATEGORY,CUSTOMER,PRODUCT_CODE,CURRENCY,CLOSE_BAL,CLOSE_BAL_LCY,AGG_BAL_MTD,AGG_BAL_MTD_LCY,AGG_BAL_YTD,AGG_BAL_YTD_LCY,AGG_BAL,TOT_INTEREST_AMT,REVAL_RATE,INTEREST_RATE,ACCR_INT,ACCR_REMAIN,REMAIN_TERM,WORKING_BALANCE,DATE_LAST_CR_CUST,DATE_LAST_DR_CUST,DATE_LAST_CR_BANK,DATE_LAST_DR_BANK,DATE_LAST_CR_AUTO,DATE_LAST_DR_AUTO,LIMIT_ID,LINE_NO,CAMPAIGN_ID,SETLEMENT_AC,CLOSE_REASON,TERM,TERM_SBV,ROLLOVER_TERM,ORIG_INTEREST_RATE,OFFER_RATE,FIRST_INTEREST,FIRST_BALANCE,AGG_BAL_INTEREST,INTEREST_BAL,SEAB_SALES_TYPE,SEAB_SALES_ID,SEAB_BROKERS_TYPE,SEAB_BROKERS_ID,TOTAL_LOCKED_AMT,SEAB_LOS_ID,AC_TRANS_LIMIT_SK,CUSTOMER_SK,CATEGORY_SK,PRODUCTS_SK,COMPANY_SK,CURRENCY_SK,CHANNEL_SK,CONTRACT_SK,ONLINE_ACTUAL_BAL,SUB_CHANNEL_ID,FREQUENCY_DATE,FAVORITE_TERM,OPEN_ACTUAL_BAL,ONLINE_CLEARED_BAL
2025-03-25,00057808094674,AZ,BRANCH,VN0010111,8341,46623134,2141,VND,865855858255.4,585595214880,16964966815250,19.62,41948242688111.66,39379702811330.69,368580331608594,1032587654,54.35,31.45,4631397424.88,49123989515,M06,797801929246.43,2022-03-23,,,,,,,3297.0,,,,M12,M18,0024M,35.94,1.24,61.55,7720550749218,27044160199923.21,3703572.0,CRO.SME,15010219.0,NHANVIEN,2533279.0,245166460978.0,,2.0,15582361,5109,6787653,884689,29289,82.0,27363,296570747804,,,,112990790757.41,617896031393
2025-03-25,0058899716994,AZ,BRANCH,VN0010470,8019,85995808,2141,VND,612436337870.02,313215285280,8641214906901,20.67,37092792205478.49,8248958878697.98,381362617578517,1032587654,96.91,63.75,57115950114.55,54631240716,M02,820021426434.16,2023-09-26,2018-11-27,2014-07-08,,2023-09-13,,,3276.0,TG.2022.CBD.PHATLOC,,,M12,M18,0024M,34.86,1.24,35.68,3995853213220,4715443826877.25,75347267.0,CRO.SME,34921519.0,,15141664.0,154874503025.0,,2.0,22029593,5527,6787653,244388,40884,299.0,25472,800557795994,,,,890185748083.89,32215550498
2025-03-25,012495867124,AZ,BRANCH,VN0010601,20311,96425892,2141,VND,88463483190.56,814603326372,8481068929302,23.27,2639534380073.5,62011441944128.38,133897573138453,1426560052,54.35,2.9,23504007009.57,30421761036,M02,828215779847.17,2024-04-19,2021-04-22,,,2023-10-09,,,3209.0,ENT.SME.M.MSME,,,M12,M18,013M,37.65,50.47,72.45,8166465500197,345863025524166.8,24019274.0,RM,,NHANVIEN,3624352.0,204836994358.0,,2.0,23238820,6712,6787653,5722863,29289,82.0,20977,345701746335,,,,53608967330.1,821441131047
2025-03-25,00092500114331,AZ,BRANCH,VN0010470,6424,86361125,2141,VND,883369056541.74,101544694181,12204463488536,26.65,23203730334849.82,47730916430449.92,250066388341271,1032587654,96.91,95.13,31481274946.0,28272045071,M02,562356015916.69,2021-03-07,,,,,,,3240.0,SEAB.TGDNL.2018,75823541473,,M12,M18,,45.14,13.64,61.55,7224851789357,290220520367527.1,43534869.0,TELLER,16684347.0,NHANVIEN,12475170.0,168419410554.0,,2.0,12766628,377,6787653,5722863,29289,495.0,18471,850248295969,,,,194528096806.44,408067725226
2025-03-25,00076972953177,SC,BRANCH,VN0010470,19739,61920556,2141,VND,347912296348.66,639384043303,13034370032154,29.73,81897436156461.66,33197614334804.54,195801945290261,1426560052,96.91,49.13,2309311596.18,39184402959,M02,869230489645.57,2021-08-20,2022-01-25,,,,,,3209.0,,,,M12,M18,013M,45.14,78.59,65.5,3146777866291,173224357000809.56,71122504.0,CRO.SME,,NHANVIEN,9218084.0,17234378395.0,,2.0,8446501,3644,6787653,884689,40884,116.0,12499,366056833059,,,,360278808695.82,596184705966
2025-03-25,0099107011824,SC,BRANCH,VN0010111,20030,36079661,2141,VND,762170883072.18,788519603496,10604298969504,31.95,60742682257703.01,,25369307951644,1032587654,54.35,39.71,41510165506.53,2768333329,M06,395261203659.62,2021-12-04,2019-06-18,2019-03-31,,,,,3276.0,,,,M12,M18,,35.94,1.24,35.68,2446907986485,153057524486549.94,19608691.0,CRO.SME,26436802.0,NHANVIEN,42655909.0,193454444766.0,,2.0,14021674,1054,6787653,884689,40884,299.0,12525,171000270628,,,,21377886854.64,592628495407
2025-03-25,024762836502,AZ,BRANCH,VN0010470,17471,27565230,2141,VND,161070802922.73,159808881066,9347374275361,32.66,67680302930245.23,12676092007439.2,152469920038433,1032587654,96.91,97.54,28246821286.24,37802541586,M02,438380402718.77,2023-03-04,,,,,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,,35.94,84.71,35.68,3070542707766,256726454288477.28,43534869.0,TELLER,9565769.0,NHANVIEN,25327783.0,14321589247.0,,2.0,18531885,5407,6787653,5722863,40884,617.0,14499,581424275237,,,,389182017951.06,624988225970
2025-03-25,000019834078941,SC,BRANCH,VN0010601,18415,5027376,2141,VND,119201052445.63,195289671211,16929891087269,36.88,42550760709245.61,21365326142722.93,106359311342626,1032587654,54.35,49.13,35606551155.03,28029428752,M02,17251418134.6,2022-06-15,,2016-07-22,,2024-06-25,,,3276.0,,,,M12,M18,,11.1,13.64,65.5,2140592592953,189552130170984.7,75347267.0,CRO.SME,,NHANVIEN,9353643.0,245166460978.0,,2.0,21413806,4244,6787653,244388,29289,617.0,29466,144996112164,,,,347761924087.61,620903303347
2025-03-25,050784341727,AZ,BRANCH,VN0010470,20311,56553653,2141,VND,388786774914.44,333128603053,11432542031653,38.2,86830541645694.36,51205458599996.16,353496636589092,1426560052,54.35,22.48,34153766151.06,53247506963,M06,534155724648.43,2023-08-06,2020-02-22,,,2024-04-03,,,3276.0,,,,M12,M18,,45.14,84.71,37.24,4255153308222,57492412827294.05,71122504.0,CRO.SME,38697804.0,NHANVIEN,36316076.0,220999892545.0,,2.0,16567984,2928,6787653,5722863,29289,495.0,18449,325718870055,,,,708923512844.09,272960126771
2025-03-25,00084558210013,SC,BRANCH,VN0010111,18413,82804155,2141,VND,23968202621.4,676392465069,12499811499302,38.79,2024481272675.15,51891428340281.3,278601811189796,1032587654,54.35,69.9,19970618492.61,49070649878,M06,24484700161.42,2023-10-03,,,,,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,0024M,34.86,76.7,65.5,4775602694726,328293416060515.2,75347267.0,TELLER,,NHANVIEN,,236181810881.0,,2.0,9360304,4590,6787653,244388,40884,299.0,19808,200105956135,,,322.0,461003334153.96,377211865141
2025-03-25,69075725523,SC,BRANCH,VN0010601,17479,75234237,2141,VND,191307900160.64,45152698673,10971381930536,41.98,61495459762227.03,53896396572261.03,413058455395366,1426560052,54.35,39.71,40006017035.91,20129878550,M02,595856753449.11,2022-11-05,,2019-09-14,,,,,3209.0,,,,M12,M18,013M,35.94,13.64,8.27,10267680399441,327780848859269.8,71122504.0,,22673622.0,NHANVIEN,4804276.0,193454444766.0,,2.0,19551154,4590,6787653,884689,29289,617.0,29015,512202098094,LOS,,,608924678563.52,157591041466
2025-03-25,80546682669,SC,BRANCH,VN0010111,17471,13661757,2141,VND,755217495365.18,844819841461,12834520705452,42.67,44428535258256.8,5274596231297.48,94499424137766,1032587654,96.91,2.9,37000816192.47,3293114395,M02,692456248407.45,2024-03-22,,,,2023-05-15,,,3209.0,,,,M12,M18,0002M,34.86,50.47,61.55,9962309802583,178371432925216.38,24019274.0,,42619352.0,,21555636.0,193454444766.0,,2.0,25958577,4646,6787653,244388,29289,617.0,25692,349874407214,,,,854250515965.47,822570934587
2025-03-25,23105665630,SC,BRANCH,VN0010111,10885,47385662,2141,VND,597228605489.26,375730523958,21777279890991,43.56,23629747279602.98,9435723250781.67,157230721071656,1032587654,54.35,95.13,58273410166.02,41771000348,M02,666798475286.8,2023-02-07,2021-11-22,,,,,,3209.0,,,,M12,M18,0002M,18.55,84.71,42.54,5332174965862,223167950331264.72,3703572.0,TELLER,27631576.0,NHANVIEN,35245494.0,1351659998.0,,2.0,26667952,3332,6787653,884689,29289,617.0,13061,144645939504,,,,787843628111.76,143374302398
2025-03-25,00085779154359,SC,BRANCH,VN0010111,17479,11014719,2141,VND,870147869185.99,396907948728,9042309522608,43.34,55174367247460.93,38625798086052.59,225555526165033,1426560052,96.91,2.9,57521448215.9,42152533022,M06,739903686058.83,2024-04-03,2021-05-14,,,2023-05-10,,,3276.0,SEAB.TG.TAILOC,,,M12,M18,0024M,18.55,50.47,6.52,5229173023346,307217193566913.94,3703572.0,RM,29550303.0,NHANVIEN,21344054.0,208048930289.0,,2.0,12741426,750,6787653,244388,29289,495.0,17755,432900544567,,,,304876330893.6,80743118782
2025-03-25,017444158005,AZ,BRANCH,VN0010069,20311,21485250,2141,VND,423800159022.33,818974248888,8462777292082,45.21,39701437710856.98,,159403096044586,1426560052,96.91,39.71,21250328635.0,16933458974,M02,560882294553.19,2022-11-20,,,,,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,012M,80.72,78.59,42.54,2139711728763,400649785645476.7,71122504.0,CRO.SME,41989602.0,NHANVIEN,38305479.0,220999892545.0,,2.0,23772982,2958,6787653,244388,40884,299.0,28764,121554680892,,,,276394880861.42,765594262334
2025-03-25,008822735957,AZ,BRANCH,VN0010111,20311,12403139,2141,VND,395397699802.01,346854600126,3687393210035,54.63,47915673908597.34,70533420476245.62,236546478179370,1426560052,96.91,69.9,35301708297.67,4378797092,M02,590463137825.21,2023-01-14,,,,,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,0002M,37.65,13.64,6.52,5641683879040,365371753118762.56,24019274.0,CRO.SME,40643812.0,NHANVIEN,47643592.0,208048930289.0,,2.0,14947641,5109,6787653,884689,29289,617.0,22617,588644414909,,,,257423939405.5,234550756164
2025-03-25,25803898200,AZ,BRANCH,VN0010111,15074,80766916,2141,VND,307302428425.93,525533043519,20674824788532,54.39,43023630571849.6,60582695877677.45,72799920368684,1426560052,96.91,39.71,54303857344.05,17967855140,D16,791947333567.18,2025-01-23,,,,,,,3276.0,,,,M12,M18,,80.72,76.7,26.96,5347988072073,230304111706264.38,19608691.0,TELLER,3265264.0,NHANVIEN,2961230.0,58003646639.0,,2.0,19204282,5527,6787653,2624553,40884,116.0,20672,264438303679,,,,562403169394.5,379163476293
2025-03-25,0054769239839,SC,BRANCH,VN0010601,17479,64667717,2141,VND,273567389768.49,506986588866,1008756103929,57.7,21062083432166.69,2709885254175.8,244910069376045,1426560052,96.91,69.9,27346441279.0,30870153766,D16,790650141327.35,,,,,,,,3209.0,SEAB.TG.TAILOC,,,M12,M18,012M,74.7,13.64,8.27,1282184617098,218523851600098.1,19608691.0,TELLER,11915376.0,NHANVIEN,14445275.0,230304036928.0,,2.0,24333636,2958,6787653,244388,29289,82.0,21465,383384737215,,,,93010590051.83,831268672966
2025-03-25,00031311803157,AZ,BRANCH,VN0010601,20620,48579782,2141,VND,628070804522.94,826271253955,4269194970039,,4714994130042.4,52136021204022.86,58412197421,1426560052,54.35,22.48,18430230616.88,23880609319,D16,118330050374.76,2021-05-07,2021-11-22,,,,,,3209.0,SEAB.TG.TAILOC,,,M12,M18,0002M,9.52,1.24,65.5,2483974263437,201996173518920.56,75347267.0,CRO.SME,10008565.0,NHANVIEN,43660904.0,768411208.0,,2.0,27846214,5407,6787653,2624553,29289,82.0,15066,322179265599,,,,47999174753.3,315410868551
2025-03-25,000025826782714,SC,BRANCH,VN0010111,9748,53274951,2141,VND,135189462458.51,136442779460,8884954623160,59.93,1424526911656.09,66041178333677.51,427880452027432,1032587654,96.91,31.45,51184860182.72,13491672617,M06,613999467811.67,2022-08-18,2022-01-21,,,2023-09-13,,,3209.0,SEAB.TG.TAILOC,,,M12,M18,,80.72,1.24,6.52,5541657891474,147801303466118.1,71122504.0,CRO.SME,14078455.0,NHANVIEN,42101995.0,245166460978.0,,2.0,10715207,3778,6787653,244388,40884,495.0,20611,613679892928,,,,173552947759.79,651270502216
2025-03-25,029744818548,AZ,BRANCH,VN0010069,8341,58330184,2141,VND,58043321736.63,396248454009,11956491894072,60.56,47774849862670.02,35151082635847.88,339096214763055,1032587654,54.35,57.7,44848373249.25,51265559081,D16,885367989772.0,2023-09-19,,,,,,,3209.0,SEAB.TG.TAILOC,,,M12,M18,,45.14,84.71,42.54,7808068940948,357340356154370.9,75347267.0,TELLER,31765241.0,NHANVIEN,,768411208.0,,2.0,27133383,377,6787653,2624553,29289,82.0,28936,655089492680,,,,25771660841.58,483215667274
2025-03-25,000065367166423,AZ,BRANCH,VN0010601,20620,69830729,2141,VND,689456643733.32,580963360968,12567340010298,63.58,29945281122833.5,12763632598669.9,416978949141042,1032587654,96.91,2.9,15314712422.27,33222953003,M02,740068750990.19,2024-12-25,,,,2024-03-27,,,3276.0,SEAB.TG.TAILOC,,,M12,M18,012M,9.52,76.7,26.96,3226199359124,291364377831792.1,71122504.0,TELLER,11915376.0,NHANVIEN,17234286.0,204836994358.0,,2.0,28824778,5407,6787653,2624553,40884,116.0,21259,245198603209,,,,202632463697.39,833719653835
2025-03-25,079385271958,AZ,BRANCH,VN0010470,9748,4063174,2141,VND,890867358249.75,435830129993,5937292585403,63.34,14506685224574.84,73237011212869.89,223103994150963,1426560052,96.91,2.9,20689186321.11,30342828075,M06,334560625192.83,2024-08-05,,,,,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,,11.1,1.24,72.45,4379544919700,407237458231672.9,43534869.0,CRO.SME,22673622.0,NHANVIEN,40507121.0,220999892545.0,,2.0,19476683,4244,6787653,2624553,40884,116.0,23268,413672213322,,,,269750289935.03,123482447822
2025-03-25,065783600159,LD,BRANCH,VN0010601,17479,17785549,2141,VND,279955719554.25,161473837130,20231153831227,65.96,75499436253202.56,8237038756204.63,31006850995252,1032587654,54.35,39.71,12798832240.94,49330434605,M02,53171685136.54,2023-06-10,,,,,,,3276.0,CBD.2022.TG.PHATLOC,,,M12,M18,013M,35.94,13.64,65.5,201697457306,150209019436678.3,43534869.0,CRO.SME,20307978.0,NHANVIEN,24971509.0,17234378395.0,,2.0,13260107,3778,6787653,884689,40884,617.0,25016,360612358216,,,,400223631977.57,842389673039
2025-03-25,000095914113529,AZ,BRANCH,VN0010111,9299,90431822,2141,VND,803211552550.63,82361185230,616944083005,66.42,45533381213487.45,23419860001305.63,154950449376823,1032587654,96.91,31.45,17678267004.59,19004690987,M06,587084340496.95,2023-02-02,,,,,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,012M,9.52,76.7,65.5,9433627938462,58609191484773.48,71122504.0,TELLER,40013622.0,NHANVIEN,33920126.0,193454444766.0,,2.0,17775437,4646,6787653,2624553,40884,116.0,27250,516105276412,,,,418546958491.28,413572198098
2025-03-25,00063204751855,SC,BRANCH,VN0010470,17471,43718607,2141,VND,58624194604.23,484469363540,19371521560394,65.72,7918728581828.06,7469744854162.19,43636540543546,1426560052,96.91,31.45,43228722818.08,21807692847,M06,63402059350.79,2022-08-27,,,,,,,3240.0,,,,M12,M18,,3.21,1.24,8.71,8854344927395,421212369593507.8,43534869.0,TELLER,,NHANVIEN,13054463.0,208048930289.0,,2.0,17180493,5527,6787653,2624553,40884,617.0,12402,267277089740,,,,645329090694.5,769161474132
2025-03-25,004639743162,SC,BRANCH,VN0010111,20620,34918352,2141,VND,328903532847.09,622145382741,7469589130573,69.34,66552548339751.44,40486094408232.34,326158698437691,1426560052,54.35,95.13,56538824301.88,53448927280,D16,623553828291.11,2021-03-28,,,,,,,3209.0,CBD.2022.TG.PHATLOC,,,M12,M18,012M,45.14,50.47,65.5,7001289548460,58903678957075.14,19608691.0,CRO.SME,40013622.0,NHANVIEN,22986008.0,768411208.0,,2.0,8403663,377,6787653,5722863,40884,82.0,17926,47440543695,LOS,,,612693830204.14,189555108438
2025-03-25,0090217911669,SC,BRANCH,VN0010601,10885,80804690,2141,VND,566226672850.61,130661654393,12666608106958,71.3,42852833585281.64,34865412299967.81,27683748617789,1032587654,54.35,63.75,21024746804.61,15215003697,M06,225750818876.03,2023-06-25,,,,2023-04-14,,,3297.0,,,,M12,M18,0024M,45.14,1.24,42.54,278604623539,435282748297305.8,24019274.0,TELLER,38697804.0,NHANVIEN,14445275.0,109427757296.0,,2.0,23025109,720,6787653,5722863,40884,116.0,12409,389458011603,,2025-01-21,,270947946603.08,882257654614
2025-03-25,033587945459,AZ,BRANCH,VN0010601,9748,98496211,2141,VND,765208424088.38,245493611098,21698693956433,72.17,32726692102882.81,836655029047.96,284468859923005,1032587654,96.91,97.54,35478353625.13,41712400434,M02,607683561174.63,2023-08-23,,,,,,,3276.0,SEAB.TG.TAILOC,,,M12,M18,,80.72,50.47,6.52,9014631474873,18567380958274.04,24019274.0,TELLER,15010219.0,NHANVIEN,21344054.0,168419410554.0,,2.0,27462103,377,6787653,884689,40884,116.0,17035,143803442138,,,,156305506051.15,112855403359
2025-03-25,000002783235679,AZ,BRANCH,VN0010111,15074,83226069,2141,VND,863364068446.5,336525515743,2757372378961,74.18,68610686945784.55,,393582009179200,1032587654,96.91,38.17,35166889699.71,47382592563,D16,486437144884.08,2024-01-01,,,,2023-10-28,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,,34.86,50.47,6.52,4795352359611,507321595058445.3,3703572.0,TELLER,10008565.0,NHANVIEN,22986008.0,8084321667.0,,2.0,20090712,4590,6787653,244388,29289,82.0,22120,485707570523,,,225.0,275178797684.62,175254941412
2025-03-25,04485610322,AZ,BRANCH,VN0010470,9748,76146776,2141,VND,326813596048.99,789393241057,1574497997779,75.58,50026734331719.35,31417154528044.21,124308270883393,1032587654,54.35,57.7,22556236299.16,3074415666,M06,698120319137.16,2025-03-20,,,,,,,3297.0,SEAB.TG.TAILOC,,,M12,M18,,37.65,76.7,72.45,4905638115009,87933840208684.11,19608691.0,CRO.SME,22673622.0,NHANVIEN,2961230.0,193454444766.0,,2.0,23125340,5109,6787653,884689,40884,82.0,28952,440864026108,LOS,,,73994091228.78,619416221797
2025-03-25,0052692303376,SC,BRANCH,VN0010601,9299,19049434,2141,VND,558129225608.22,41823567202,10520865466196,74.54,39231598335711.52,69706202340135.38,158275045928514,1032587654,54.35,63.75,58455456065.68,22332448821,D16,710146820120.34,2025-02-12,,,,2023-03-02,,,3240.0,,,,M12,M18,012M,9.52,1.24,61.55,10116634798800,405523202957218.94,43534869.0,CRO.SME,39767814.0,NHANVIEN,13054463.0,236181810881.0,,2.0,24171358,3332,6787653,244388,29289,299.0,18258,89367391974,,,,260815792411.46,420441220966
2025-03-25,00098501957796,SC,BRANCH,VN0010601,20620,13149276,2141,VND,350398263074.55,535106512099,10437377860563,77.27,19830145576992.61,46277023716116.19,3137908535362,1032587654,96.91,57.7,51649145516.81,5079713847,D16,881348576273.75,2022-10-27,2022-12-13,,,,,,3240.0,SEAB.TG.TAILOC,,,M12,M18,,11.1,76.7,8.71,3847423220433,8631073961340.22,71122504.0,RM,10008565.0,NHANVIEN,43660904.0,17234378395.0,,2.0,10532191,4590,6787653,5722863,40884,116.0,13215,546104182120,,,,323207749450.78,768405546729
2025-03-25,05773152728,SC,BRANCH,VN0010111,8341,93139297,2141,VND,818508481608.61,590828180962,20226129959510,78.94,16069919677595.32,58140304226573.42,377459650526788,1032587654,54.35,63.75,55060111598.74,34653193787,M06,232169383989.31,2024-12-31,2022-01-25,,,,,,3276.0,,,,M12,M18,012M,9.52,84.71,6.52,3851436081876,325396811369075.25,75347267.0,TELLER,42619352.0,NHANVIEN,30916874.0,130381670179.0,,2.0,9171042,6712,6787653,884689,29289,495.0,16306,896807192299,,,,201494277195.81,189372109546
2025-03-25,01665993081,SC,BRANCH,VN0010601,19739,23293154,2141,VND,50670879499.92,813405756007,12071511969112,79.42,83993359333518.89,70067743553259.91,377784421258309,1032587654,96.91,69.9,26541335261.16,11197803581,M02,17011424283.23,2021-12-04,2021-05-14,,,2023-10-11,,,3240.0,,,,M12,M18,012M,35.94,50.47,37.24,6574481354979,325332598387790.06,24019274.0,CRO.SME,40013622.0,NHANVIEN,30088335.0,154874503025.0,,2.0,10754019,5527,6787653,2624553,40884,495.0,16493,271997201644,,,,153670996508.94,82506037099
